"LINK_ID","TIME","FLOW","LANE_NO","OCC","ASPEED","LARGE_CAR_FLOW"
"3036","2009-06-01 00:43:03","13","11","1","77","0"
"3036","2009-06-01 00:43:03","7","3","1","50","2"
"3036","2009-06-01 00:43:03","18","2","5","39","5"
"3036","2009-06-01 00:43:03","19","1","3","82","2"
"3036","2009-06-01 00:49:02","3","13","1","52","0"
"3036","2009-06-01 00:49:02","11","12","3","60","3"
"3036","2009-06-01 00:49:02","12","11","1","69","2"
"3036","2009-06-01 00:49:02","1","3","1","78","0"
"3036","2009-06-01 00:49:02","9","2","2","52","1"
"3036","2009-06-01 00:49:02","12","1","2","51","1"
"3036","2009-06-01 00:57:00","2","13","1","76","0"
"3036","2009-06-01 00:57:00","8","12","1","69","0"
"3036","2009-06-01 00:57:00","8","11","1","56","0"
"3036","2009-06-01 00:57:00","4","3","1","88","0"
"3036","2009-06-01 00:57:00","16","2","3","43","1"
"3036","2009-06-01 00:57:00","10","1","1","80","0"
"3036","2009-06-01 01:02:58","4","13","1","99","0"
"3036","2009-06-01 01:02:58","9","12","2","45","2"
"3036","2009-06-01 01:02:58","11","11","2","68","2"
"3036","2009-06-01 01:02:58","4","3","1","100","0"
"3036","2009-06-01 01:02:58","13","2","3","50","3"
"3036","2009-06-01 01:02:58","12","1","1","76","0"
"3036","2009-06-01 01:06:57","5","13","1","76","0"
"3036","2009-06-01 01:06:57","9","12","1","83","2"
"3036","2009-06-01 01:06:57","11","11","1","75","2"
"3036","2009-06-01 01:06:57","2","3","1","62","0"
"3036","2009-06-01 01:06:57","8","2","1","47","0"
"3036","2009-06-01 01:06:57","8","1","1","59","0"
"3036","2009-06-01 01:10:57","7","13","1","85","0"
"3036","2009-06-01 01:10:57","10","12","1","73","0"
"3036","2009-06-01 01:10:57","10","11","1","108","0"
"3036","2009-06-01 01:10:57","1","3","1","76","0"
"3036","2009-06-01 01:10:57","9","2","2","45","2"
"3036","2009-06-01 01:10:57","7","1","1","75","0"
"3036","2009-06-01 01:12:56","1","13","1","91","0"
"3036","2009-06-01 01:12:56","8","12","1","82","0"
"3036","2009-06-01 01:12:56","10","11","1","69","0"
"3036","2009-06-01 01:12:56","3","3","1","45","0"
"3036","2009-06-01 01:12:56","9","2","1","83","0"
"3036","2009-06-01 01:12:56","9","1","1","79","0"
"3036","2009-06-01 01:14:56","2","13","1","119","0"
"3036","2009-06-01 01:14:56","9","12","2","59","2"
"3036","2009-06-01 01:14:56","10","11","1","84","0"
"3036","2009-06-01 01:14:56","3","3","1","58","0"
"3036","2009-06-01 01:14:56","6","2","1","55","0"
"3036","2009-06-01 01:14:56","5","1","1","61","0"
"3036","2009-06-01 01:18:55","4","13","1","60","2"
"3036","2009-06-01 01:18:55","6","12","1","79","0"
"3036","2009-06-01 01:18:55","5","11","1","57","1"
"3036","2009-06-01 01:18:55","2","3","1","47","0"
"3036","2009-06-01 01:18:55","9","2","2","48","0"
"3036","2009-06-01 01:18:55","7","1","1","69","0"
"3036","2009-06-01 01:20:54","5","13","1","92","0"
"3036","2009-06-01 01:20:54","10","12","2","72","1"
"3036","2009-06-01 01:20:54","10","11","1","84","0"
"3036","2009-06-01 01:20:54","2","3","1","72","0"
"3036","2009-06-01 01:20:54","8","2","1","51","0"
"3036","2009-06-01 01:20:54","8","1","1","64","1"
"3036","2009-06-01 01:22:54","1","13","1","119","0"
"3036","2009-06-01 01:22:54","10","12","1","101","0"
"3036","2009-06-01 01:22:54","11","11","1","74","0"
"3036","2009-06-01 01:22:54","1","3","1","42","0"
"3036","2009-06-01 01:22:54","11","2","2","43","2"
"3036","2009-06-01 01:22:54","9","1","1","67","0"
"3036","2009-06-01 01:24:53","1","13","1","75","0"
"3036","2009-06-01 01:24:53","12","12","1","82","0"
"3036","2009-06-01 01:24:53","8","11","1","108","0"
"3036","2009-06-01 01:24:53","4","3","1","49","0"
"3036","2009-06-01 01:24:53","11","2","2","54","2"
"3036","2009-06-01 01:24:53","9","1","2","58","1"
"3036","2009-06-01 01:28:52","3","13","1","97","0"
"3036","2009-06-01 01:28:52","4","12","1","79","0"
"3036","2009-06-01 01:28:52","3","11","1","83","0"
"3036","2009-06-01 01:28:52","3","3","1","49","1"
"3036","2009-06-01 01:28:52","11","2","4","36","3"
"3036","2009-06-01 01:28:52","8","1","2","52","1"
"3036","2009-06-01 01:30:52","1","13","1","96","0"
"3036","2009-06-01 01:30:52","6","12","1","85","0"
"3036","2009-06-01 01:30:52","9","11","1","83","1"
"3036","2009-06-01 01:30:52","4","3","1","80","0"
"3036","2009-06-01 01:30:52","11","2","2","46","0"
"3036","2009-06-01 01:30:52","7","1","1","69","0"
"3036","2009-06-01 01:32:51","2","13","1","101","0"
"3036","2009-06-01 01:32:51","3","12","1","75","0"
"3036","2009-06-01 01:32:51","3","11","1","80","0"
"3036","2009-06-01 01:32:51","1","3","1","99","0"
"3036","2009-06-01 01:32:51","13","2","2","59","0"
"3036","2009-06-01 01:32:51","6","1","1","48","0"
"3036","2009-06-01 01:34:51","2","13","1","71","0"
"3036","2009-06-01 01:34:51","7","12","1","64","0"
